DEMO,locationnameshort17181,count_
OVERBROOK H.S.,1 RAY-ELMWOOD,1
FELS H.S.,1 RAY-FAIRHILL,1
MASTERY @ GRATZ,1 RAY-FAIRHILL,1
ROXBOROUGH H.S.,21ST CENTURY,1
LINCOLN H.S.,ACHIEVEMENT,1
FELS H.S.,ACT ACADEMY,1
KING H.S.,ACT ACADEMY,2
KING H.S.,AGORA CYBER,2
STRAWBERRY MANS,AGORA CYBER,1
ASPIRA OLNEY,ARCHITEC DESIGN,3
EDISON H.S.,ARCHITEC DESIGN,1
FELS H.S.,ARCHITEC DESIGN,1
FRANKFORD H.S.,ARCHITEC DESIGN,1
FRANKLIN H.S.,ARCHITEC DESIGN,1
LINCOLN H.S.,ARCHITEC DESIGN,1
MASTERY @ GRATZ,ARCHITEC DESIGN,1
OVERBROOK H.S.,ARCHITEC DESIGN,2
SAYRE H.S.,ARCHITEC DESIGN,1
STRAWBERRY MANS,ARCHITEC DESIGN,1
ASPIRA OLNEY,ASPIRA OLNEY,9
BARTRAM H.S.,ASPIRA OLNEY,1
EDISON H.S.,ASPIRA OLNEY,1
FELS H.S.,ASPIRA OLNEY,7
KENSINGTON H.S.,ASPIRA OLNEY,1
KING H.S.,ASPIRA OLNEY,9
MASTERY @ GRATZ,ASPIRA OLNEY,2
OVERBROOK H.S.,ASPIRA OLNEY,2
ROXBOROUGH H.S.,ASPIRA OLNEY,1
SAYRE H.S.,ASPIRA OLNEY,1
BARTRAM H.S.,BARTRAM H.S.,2
WEST PHILA H.S.,BARTRAM H.S.,1
KING H.S.,BOYS LATIN,1
ASPIRA OLNEY,BUILDING 21,1
BARTRAM H.S.,BUILDING 21,1
FELS H.S.,BUILDING 21,2
KING H.S.,BUILDING 21,3
KING H.S.,COMM CNCL ACD,1
KING H.S.,COMMUNITY ACDMY,1
ASPIRA OLNEY,DOBBINS H.S.,2
ASPIRA OLNEY,DOBBINS H.S.,1
EDISON H.S.,DOBBINS H.S.,1
FELS H.S.,DOBBINS H.S.,2
KING H.S.,DOBBINS H.S.,6
LINCOLN H.S.,DOBBINS H.S.,1
OVERBROOK H.S.,DOBBINS H.S.,1
STRAWBERRY MANS,DOBBINS H.S.,2
EDISON H.S.,EDISON H.S.,2
FELS H.S.,EDISON H.S.,2
KING H.S.,EDISON H.S.,1
STRAWBERRY MANS,EL CENTRO,1
WEST PHILA H.S.,EL CENTRO,1
FELS H.S.,ESPERANZA CYBER,1
ASPIRA OLNEY,EXCEL NORTH,1
MASTERY @ GRATZ,EXCEL NORTH,1
SAYRE H.S.,EXCEL NORTH,1
ASPIRA OLNEY,EXCEL SOUTH,1
KING H.S.,EXCEL SOUTH,2
BARTRAM H.S.,F.L.C.,1
FELS H.S.,F.L.C.,1
ASPIRA OLNEY,FELS H.S.,4
FELS H.S.,FELS H.S.,8
FRANKFORD H.S.,FELS H.S.,2
KING H.S.,FELS H.S.,6
LINCOLN H.S.,FELS H.S.,1
MASTERY @ GRATZ,FELS H.S.,2
STRAWBERRY MANS,FELS H.S.,1
UNIVR.AUDENRIED,FELS H.S.,1
ASPIRA OLNEY,FRANKFORD H.S.,2
FRANKFORD H.S.,FRANKFORD H.S.,1
KENSINGTON H.S.,FRANKFORD H.S.,1
ASPIRA OLNEY,FRANKLIN EOP,1
ASPIRA OLNEY,FRANKLIN H.S.,1
BARTRAM H.S.,FRANKLIN H.S.,1
FRANKLIN H.S.,FRANKLIN H.S.,2
KENSINGTON H.S.,FRANKLIN H.S.,1
KING H.S.,FRANKLIN H.S.,2
OVERBROOK H.S.,FRANKLIN H.S.,1
STRAWBERRY MANS,FRANKLIN H.S.,2
WEST PHILA H.S.,FRANKLIN H.S.,2
BARTRAM H.S.,FREIRE CHARTER,1
STRAWBERRY MANS,FREIRE CHARTER,1
OVERBROOK H.S.,FURNESS H.S.,1
BARTRAM H.S.,H WILLIAMS CHRT,1
LINCOLN H.S.,H.S. OF FUTURE,1
LINCOLN H.S.,H.S. OF FUTURE,1
STRAWBERRY MANS,H.S. OF FUTURE,2
BARTRAM H.S.,HILL-FREEDMAN,1
FELS H.S.,IMHOTEP,1
FRANKFORD H.S.,IMHOTEP,1
KING H.S.,IMHOTEP,2
SOUTH PHILA HS,IMHOTEP,1
KENSINGTON H.S.,KENSINGTON HLTH,1
SAYRE H.S.,KENSINGTON HS,1
WEST PHILA H.S.,KENSINGTON HS,1
ASPIRA OLNEY,KING H.S.,1
FELS H.S.,KING H.S.,1
KING H.S.,KING H.S.,25
MASTERY @ GRATZ,KING H.S.,1
PENN TREATY H.S.,KING H.S.,1
BARTRAM H.S.,KIPP DUBOIS,1
KING H.S.,LANKENAU H.S.,2
ASPIRA OLNEY,LINCOLN H.S.,5
BARTRAM H.S.,LINCOLN H.S.,1
FELS H.S.,LINCOLN H.S.,7
FRANKFORD H.S.,LINCOLN H.S.,3
FRANKLIN H.S.,LINCOLN H.S.,1
KING H.S.,LINCOLN H.S.,2
LINCOLN H.S.,LINCOLN H.S.,1
LINCOLN H.S.,LINCOLN H.S.,1
LINCOLN H.S.,LINCOLN H.S.,1
MASTERY @ GRATZ,LINCOLN H.S.,1
OVERBROOK H.S.,LINCOLN H.S.,1
SAYRE H.S.,LINCOLN H.S.,1
STRAWBERRY MANS,LINCOLN H.S.,1
MASTERY @ GRATZ,MASTBAUM H.S.,1
OVERBROOK H.S.,MASTERY SHOEMKR,1
ASPIRA OLNEY,MASTERY@GRATZ,5
BARTRAM H.S.,MASTERY@GRATZ,2
EDISON H.S.,MASTERY@GRATZ,1
FELS H.S.,MASTERY@GRATZ,7
FRANKFORD H.S.,MASTERY@GRATZ,6
FRANKLIN H.S.,MASTERY@GRATZ,3
KING H.S.,MASTERY@GRATZ,29
LINCOLN H.S.,MASTERY@GRATZ,1
MASTERY @ GRATZ,MASTERY@GRATZ,6
OVERBROOK H.S.,MASTERY@GRATZ,9
SAYRE H.S.,MASTERY@GRATZ,1
STRAWBERRY MANS,MASTERY@GRATZ,16
WEST PHILA H.S.,MASTERY@GRATZ,1
FELS H.S.,MASTERY@PICKETT,1
KING H.S.,MASTERY@PICKETT,2
MASTERY @ GRATZ,MASTERY@PICKETT,1
STRAWBERRY MANS,MASTERY@PICKETT,1
BARTRAM H.S.,MASTERY-LENFEST,1
OVERBROOK H.S.,MASTERY-LENFEST,2
FELS H.S.,"MATH, CIVICS AND SCIENCES",1
KING H.S.,"MATH, CIVICS AND SCIENCES",2
OVERBROOK H.S.,"MATH, CIVICS AND SCIENCES",1
OVERBROOK H.S.,"MATH, CIVICS AND SCIENCES",1
STRAWBERRY MANS,"MATH, CIVICS AND SCIENCES",1
ASPIRA OLNEY,MOTIVATION H.S.,1
BARTRAM H.S.,MOTIVATION H.S.,1
FELS H.S.,MOTIVATION H.S.,1
FELS H.S.,NE HIGH EOP,1
ASPIRA OLNEY,NORTHEAST H.S.,4
FELS H.S.,NORTHEAST H.S.,2
FRANKFORD H.S.,NORTHEAST H.S.,1
KING H.S.,NORTHEAST H.S.,1
LINCOLN H.S.,NORTHEAST H.S.,2
KING H.S.,OIC CADI,1
LINCOLN H.S.,OIC CADI,1
OVERBROOK H.S.,OIC CADI,1
SAYRE H.S.,OIC CADI,1
KING H.S.,OMBUDSMAN ACCEL,1
STRAWBERRY MANS,OMBUDSMAN ACCEL,2
ASPIRA OLNEY,OVERBROOK H.S.,1
OVERBROOK H.S.,OVERBROOK H.S.,5
STRAWBERRY MANS,OVERBROOK H.S.,1
ASPIRA OLNEY,PA LEADERSHIP,1
KING H.S.,PA LEADERSHIP,1
ASPIRA OLNEY,PA VIRTUAL,1
STRAWBERRY MANS,PARKWAY C.C.,1
ASPIRA OLNEY,PARKWAY N.W.,1
FELS H.S.,PARKWAY N.W.,1
KING H.S.,PARKWAY N.W.,5
BARTRAM H.S.,PARKWAY WEST,1
LINCOLN H.S.,PENNYPACK,1
ASPIRA OLNEY,PETCS,1
BARTRAM H.S.,PETCS,2
FELS H.S.,PETCS,1
FRANKFORD H.S.,PETCS,1
KING H.S.,PETCS,1
MASTERY @ GRATZ,PETCS,1
OVERBROOK H.S.,PETCS,1
SAYRE H.S.,PETCS,1
FELS H.S.,PHILA JUV JUSTC,2
FRANKFORD H.S.,PHILA JUV JUSTC,1
KING H.S.,PHILA JUV JUSTC,2
OVERBROOK H.S.,PHILA JUV JUSTC,1
KING H.S.,PHILA OIC WORKF,2
ASPIRA OLNEY,PHILA VIRTUAL,2
FELS H.S.,PHILA VIRTUAL,1
KING H.S.,PHILA VIRTUAL,2
OVERBROOK H.S.,PHILA VIRTUAL,1
ROXBOROUGH H.S.,PHILA VIRTUAL,1
SAYRE H.S.,PHILA VIRTUAL,2
STRAWBERRY MANS,PHILA VIRTUAL,2
ASPIRA OLNEY,PHL ACDMY-NORTH,1
SAYRE H.S.,PHL ACDMY-SOUTH,1
ASPIRA OLNEY,RANDOLPH H.S.,1
FELS H.S.,RANDOLPH H.S.,1
KENSINGTON H.S.,RANDOLPH H.S.,1
KING H.S.,RANDOLPH H.S.,4
LINCOLN H.S.,RANDOLPH H.S.,1
MASTERY @ GRATZ,RANDOLPH H.S.,1
OVERBROOK H.S.,RANDOLPH H.S.,1
SAYRE H.S.,RANDOLPH H.S.,2
STRAWBERRY MANS,RANDOLPH H.S.,2
KING H.S.,ROBESON H.S.,1
SAYRE H.S.,ROBESON H.S.,1
WEST PHILA H.S.,ROBESON H.S.,2
ASPIRA OLNEY,ROXBOROUGH H.S.,3
BARTRAM H.S.,ROXBOROUGH H.S.,1
FRANKFORD H.S.,ROXBOROUGH H.S.,1
FRANKLIN H.S.,ROXBOROUGH H.S.,1
KING H.S.,ROXBOROUGH H.S.,7
MASTERY @ GRATZ,ROXBOROUGH H.S.,1
OVERBROOK H.S.,ROXBOROUGH H.S.,1
ROXBOROUGH H.S.,ROXBOROUGH H.S.,2
STRAWBERRY MANS,ROXBOROUGH H.S.,2
ASPIRA OLNEY,SANKOFA FREEDOM,1
EDISON H.S.,SANKOFA FREEDOM,1
KING H.S.,SANKOFA FREEDOM,1
LINCOLN H.S.,SANKOFA FREEDOM,1
STRAWBERRY MANS,SANKOFA FREEDOM,1
FELS H.S.,SAYRE H.S.,2
KING H.S.,SAYRE H.S.,1
OVERBROOK H.S.,SAYRE H.S.,2
SAYRE H.S.,SAYRE H.S.,5
SOUTH PHILA HS,SAYRE H.S.,1
FELS H.S.,SLA @ BEEBER,1
KING H.S.,SLA @ BEEBER,1
FELS H.S.,SOUTH PHILA EOP,2
BARTRAM H.S.,SOUTH PHILA HS,1
SOUTH PHILA HS,SOUTH PHILA HS,1
FRANKFORD H.S.,STRAWBERRY MANS,1
KING H.S.,STRAWBERRY MANS,1
STRAWBERRY MANS,STRAWBERRY MANS,2
ASPIRA OLNEY,TECH FREIRE,3
BARTRAM H.S.,TECH FREIRE,1
KING H.S.,TECH FREIRE,4
SAYRE H.S.,TECH FREIRE,2
STRAWBERRY MANS,TECH FREIRE,1
BARTRAM H.S.,THE LINC,1
ASPIRA OLNEY,THE U SCHOOL,1
FELS H.S.,THE U SCHOOL,1
FRANKLIN H.S.,THE U SCHOOL,1
KING H.S.,THE U SCHOOL,3
MASTERY @ GRATZ,THE U SCHOOL,3
KING H.S.,UNIVR.AUDENRIED,1
UNIVR.AUDENRIED,UNIVR.AUDENRIED,1
ASPIRA OLNEY,UNKNOWN,7
BARTRAM H.S.,UNKNOWN,6
FELS H.S.,UNKNOWN,10
FELS H.S.,UNKNOWN,1
FRANKFORD H.S.,UNKNOWN,2
FRANKLIN H.S.,UNKNOWN,2
KENSINGTON H.S.,UNKNOWN,1
KING H.S.,UNKNOWN,27
LINCOLN H.S.,UNKNOWN,3
LINCOLN H.S.,UNKNOWN,1
MASTERY @ GRATZ,UNKNOWN,8
OVERBROOK H.S.,UNKNOWN,4
SAYRE H.S.,UNKNOWN,1
SOUTH PHILA HS,UNKNOWN,1
STRAWBERRY MANS,UNKNOWN,4
UNIVR.AUDENRIED,UNKNOWN,2
UNIVR.AUDENRIED,UNKNOWN,1
WEST PHILA H.S.,UNKNOWN,1
MASTERY @ GRATZ,VISIONQUEST LTD,1
BARTRAM H.S.,WASHINGTON H.S.,1
FELS H.S.,WASHINGTON H.S.,1
FRANKFORD H.S.,WASHINGTON H.S.,1
LINCOLN H.S.,WASHINGTON H.S.,1
BARTRAM H.S.,WEST PHILA H.S.,1
KING H.S.,WEST PHILA H.S.,1
WEST PHILA H.S.,WEST PHILA H.S.,2
OVERBROOK H.S.,YES PHILLY,2
